#,Company,Score,Region,Industry,Website,HQ / Office Location,LinkedIn URL,LinkedIn Followers
1,Flock Safety,0.75,—,Perimeter Security & Smart Facilities,https://www.flocksafety.com,"Atlanta, Georgia, USA",https://www.linkedin.com/company/flock-,"~92,000"
2,Volatus Aerospace Inc.,0.75,North America,Energy & Utilities,https://volatusaerospace.com,"Mirabel, Quebec, Canada",https://ca.linkedin.com/company/volatus-aerospace,"~16,700"
3,Fuvex,0.75,Spain,Oil & Gas / Industrial Assets,https://www.fuvex.com,"Tudela, Navarra, Spain",https://www.linkedin.com/company/fuvex,"~2,400"
4,Falcon Unmanned Systems,0.65,USA,—,https://www.falconunmannedsystems.com,"Dyer, Indiana, USA",https://www.linkedin.com/company/falcon-unmanned-systems,<50
5,Prosper Police Department,0.65,USA,Public Safety & Emergency Response,https://www.prospertx.gov,"Prosper, Texas, USA",—,—
6,National Police Air Service (NPAS),0.65,UK,Public Safety & Emergency Response,https://www.npas.police.uk,"Wakefield, West Yorkshire, UK",https://uk.linkedin.com/company/national-police-air-service,"~5,600"
7,ZenaTech,0.65,USA,Construction & Infrastructure,https://www.zenatech.com,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/zenatechinc,"~2,800"
8,Frisco Police Department,0.65,USA,Public Safety & Emergency Response,https://www.friscotexas.gov,"Frisco, Texas, USA",—,—
9,Prosper,0.65,USA,Public Safety & Emergency Response,https://www.prospertx.gov,"Prosper, Texas, USA",—,—
10,West Midlands' water company,0.65,UK,—,https://www.south-staffs-water.co.uk,"Birmingham, West Midlands, UK",—,—
11,Toledo police,0.65,USA,Public Safety & Emergency Response,https://www.toledo.oh.gov/services/police,"Toledo, Ohio, USA",—,—
12,Cincinnati police,0.65,USA,Public Safety & Emergency Response,https://www.cincinnati-oh.gov/police,"Cincinnati, Ohio, USA",—,—
13,Oil Well Security,0.4,—,—,https://oilwellsecurity.com,"Severance, Colorado, USA",https://www.linkedin.com/company/oil-well-security,~155
14,Amber Wings,0.4,India,Public Safety & Emergency Response,https://www.amberwings.co,"Chennai, Tamil Nadu, India",https://in.linkedin.com/company/amber-wings-co,"~4,000"
15,Garuda Aerospace,0.4,India,Public Safety & Emergency Response,https://www.garudaaerospace.com,"Chennai, Tamil Nadu, India",https://in.linkedin.com/company/garuda-aerospace-private-limited,"~138,000"
16,Marut Dronetech,0.4,India,Public Safety & Emergency Response,https://marutdrones.com,"Hyderabad, Telangana, India",https://in.linkedin.com/company/marutdrones,"~25,500"
17,AECA Solutions,0.4,Malaysia,—,https://www.aeca-solutions.com,"Subang Jaya, Selangor, Malaysia",https://www.linkedin.com/company/aecasolutions,"~1,865"
18,Prisma Technologies,0.4,Australia,—,https://prismatech.com.au,"North Wollongong, NSW, Australia",https://au.linkedin.com/company/prisma-technologies-australia,~457
19,AeroSmart,0.4,United Arab Emirates,—,https://www.aerosmart.ae,"Bur Dubai, Dubai, UAE",https://ae.linkedin.com/company/aerosmartuav,"~4,300"
20,Droneologist,0.4,United Arab Emirates,—,https://droneologist.co.uk,"Crawley, West Sussex, UK",https://uk.linkedin.com/company/droneologist,~712
